Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,Chemicals,DOI
171-741-091-567-570,Eye-scanning Tech Used To Track Terrorists Adapted To Help Find Missing Children,2015-08-04,2015,,,,,,Cristina Corbin,A technology developed for identifying terrorists is being adapted to help find missing children.,Advertising; Engineering; Data science; Track (disk drive),,,,
171-765-766-507-039,A Real-time School Bus Tracking and Monitoring System,,2019,conference proceedings article,"2019 IEEE 10th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)",,IEEE,,Khalid Ammar; Mohammad Jalmoud; Abdulrasull Boushehri; Khalid Fakhro,"It is very difficult for school bus drivers to monitor and track children when they pick-up or to drop-off children without human errors which may lead to tragedy or even death. We have developed a school bus tracking and students monitoring system which provide a comprehensive and highly reliable integrated services needed for school buses to be tracked, monitored and inquired on Google maps in real time. The system offers a web and SMS services so that a real time data and information such as the location of the bus, boarding and disembarking status of students riding the bus are shared with parents and school administrators in real-time. The possibility of missing children’s during school bus transportation or accidentally left them sleeping inside the bus is eliminated.",Real-time data; Integrated services; Tracking (education); Tragedy (event); Monitoring system; Child safety; School bus; Computer security; Computer science; Track (rail transport),,,,10.1109/iemcon.2019.8936199
172-035-404-661-84X,DOJ Observes Missing Children's Day 2004,,2004,dataset,PsycEXTRA Dataset,,American Psychological Association (APA),,,,Day to day; Present day; Missing data; Computer science; Mathematics; Statistics; Engineering; Physics; Operations management; Astronomy,,,,10.1037/e532882006-002
172-353-476-701-808,Using Emergency Notification Software to Improve TxDOT’s AMBER Alert Response,2004-08-01,2004,,,,,,Whitt Hall; Michael S. Bomba; C Michael Walton,"Although occurrences of life-threatening kidnappings are rare in the United States, each year the media reports on missing children who are later found brutally murdered. Law enforcement officials have learned that one effective tool for preventing injury to missing children has been the America�s Missing: Broadcast Emergency Response, more commonly referred to as an AMBER Alert. AMBER Alerts have become a vital instrument for law enforcement agencies to quickly and widely disseminate information about missing children and their abductors to the general public. State Departments of Transportation (DOTs) frequently contribute to this effort by posting descriptions of suspected abductors� vehicles, along with their license plate information, on Dynamic Message Signs (DMSs) along highways. This study explores the feasibility of using emergency notification software to accelerate communication between Texas Department of Transportation's (TxDOT�s) AMBER Alert command center in Fort Worth and the individual district personnel who are responsible for activating its DMSs. The research tested two modestly priced notification software programs to determine whether they could be used to improve AMBER Alert communication between TxDOT personnel, using commonly carried communication devices (e.g., cellular phones, pagers, etc.). The research project concluded that emergency notification software does create opportunities to decrease intra-agency communication time during AMBER Alert events, but the application of notification software should be introduced slowly and appropriate protocols should be developed to avoid confusion between TxDOT personnel.",Dissemination; Engineering; Pager; Software; Information Dissemination; Law enforcement; License; Preventing injury; Emergency response; Computer security,,,,
172-877-444-278-184,가정 밖 청소년 지원 및 개입에 대한 미국의 정책과 시사점,2019-06-01,2019,,,,,,null 염윤호; null 정진욱,"This study examines legal systems for runaway youths protection in Korea and the U.S. and to deduce implications for Korea. In Korea, 『Act on the Protection and Support of Missing Children, etc.』 regulates the recovery of runaway youths and their return to home; 『Youth Welfare Support Act』 lays legal foundations for youth shelters as welfare support for runaway youths; and 『Juvenile Act』 enacts the protective detention of a juvenile as judicial measure. The support policies for runaway youth in the U.S. are comprehensive in the way that they are implemented through cooperation among police, community and governmental departments. At the same time, such policies are customized for individual youth. In the U.S., the federal government is mainly in charge of welfare assistance, and 『the Runaway and Homeless Youth Act』 provides three protective measures, including basic center program, transitional living program, and street outreach program. In contrast, the intervention of state governments tends to be a mix of welfare assistance and judicial protection, and the judicial protection varies from state to state. For example, temporary custody of runaway youths is a typical means of judicial protection in California. These interventions in the U.S. can provide Korea with several implications. First of all, the Korean government should prepare measures for funding related to welfare support and regulations for effective support system so that the local government can practically help runaway youths and encourage the youths to return to their homes. Also, judical protection, such as protective detention, should be used to transfer runaway youths to shelters or homes for the purpose of realizing the welfare of runaway youths, not for the purpose of punishment.",Welfare; Government; Political science; Psychological intervention; State (polity); Punishment; Local government; Outreach; Intervention (law); Criminology,,,,
173-000-532-117-626,Applying the criminal narrative experience framework to missing children,2020-11-06,2020,journal article,Journal of Investigative Psychology and Offender Profiling,15444759; 15444767,Wiley,United Kingdom,Daniel Hunt,"<jats:title>Abstract</jats:title><jats:p>Over 320,000 missing persons are estimated to go missing annually in United Kingdom due to a variety of intentional and unintentional factors. This article aims to investigate whether the criminal narrative experience framework can be applied to missing persons to acquire a deeper insight into the psychological differences between missing children. Sixty‐one previously missing persons completed a missing experience survey, narrative roles questionnaire, and emotions questionnaire. Data were content analysed and subjected to a non‐metric, multi‐dimensional scaling procedure in the form of smallest space analysis. The results identified four distinct behavioural themes as follows: depressed throwaway victim, distressed pushaway revenger, calm runaway professional and elated fallaway hero. Following a stringent criterion, 88.50% of the sample could be differentiated into one dominant behavioural theme with the remaining 11.50% identified as a hybrid theme. Due to the exploratory nature of the study, additional exploration of the applicability of the framework is required.</jats:p>",Psychoanalysis; Psychology; Narrative,,,,10.1002/jip.1567
173-704-111-024-216,Missing Children: Missing Children Data Collected by the National Crime Information Center,,1986,dataset,PsycEXTRA Dataset,,Unmaintained records,,,"This DOI is not currently attached to any metadata records. DOIs can’t actually ever be deleted (they’re persistent), but sometimes our members create DOIs in error. We do have a process to approximate deletion which we follow only in rare cases where the DOI has been genuinely created in error, and most crucially, if the DOI has never been published anywhere online or in print and never otherwise distributed to or communicated with anyone (authors, readers, reviewers, etc.",Center (category theory); Missing data; Information center; Psychology; Geography; Statistics; Mathematics; Mathematics education; Crystallography; Chemistry; Educational research,,,,10.1037/e544362006-001
174-872-744-139-186,3. Outbuildings destroyed by fire: 1867 to 1997,2016-12-31,2016,book chapter,Canada's Residential Schools: Missing Children and Unmarked Burials,,McGill-Queen's University Press,,Commission de vérité et réconciliation du Canada,,Environmental science,,,,10.1515/9780773598256-006
174-939-662-836-272,Spatial auto-correlation and endemicity pattern analysis of crimes against children in Tamil Nadu from 2017 to 2021.,2024-06-14,2024,journal article,Journal of family medicine and primary care,22494863; 22787135,Ovid Technologies (Wolters Kluwer Health),India,Ipsita Debata; Prem Sagar Panda; E Karthikeyan; J Tejas; K Shruthi; V Siva Kumar; D Thirunavukkarasu,"<AbstractText Label=""Background"" NlmCategory=""UNASSIGNED"">A child is a nation's supreme asset and future. India homes 444 million children, aged between 0 and 18 years, contributing to 19% of the world's children. Crime against children is detrimental to their mental and physical health and affects their growth and development. The National Crime Record Bureau recently reported that a crime targeting children happens every 4 minutes. There is a paucity of literature regarding the burden of crime against children. To understand the magnitude and spatial distribution of crime against children, a retrospective surveillance study was conducted in the state of Tamil Nadu, India, from 2017 to 2021.</AbstractText>;           <AbstractText Label=""Materials and Methods"" NlmCategory=""UNASSIGNED"">This is a cross-sectional analytical type of study conducted in KIMSRC, Chengalpattu, Tamil Nadu. The data from the yearly crime review bulletin of Tamil Nadu from 2017 to 2021 were cleaned, transformed, and analyzed using Python v3.8 and subjected to geospatial auto-correlation and hotspot analysis using the Getis-Ord Gi* in ArcGIS Pro v3.1. The endemicity pattern was studied through cluster analysis with Hierarchical Density Based Scanning in Python and visualization in ArcGIS pro v3.1 in the study area.</AbstractText>;           <AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">In Tamil Nadu, only one hotspot district in 2017 [Tiruppattur (95% confidence, <i>P</i> &lt; 0.05)] and one hotspot in 2020 [Villupuram (90% confidence, <i>P</i> &lt; 0.1)] were identified, with others being insignificant. The districts which show very high prevalence of crimes against children are Chennai, Ranipet, Chengalpattu, Viluppuram, Tiruvannamalai, Vellore, Tiruppattur, Krishnagiri, Dharmapuri, Salem, Cuddalore, Thanjavur, Tiruchirappalli, Karur, Tiruppur, Coimbatore, Dindigul, Pudukkottai, Sivaganga, Tenkasi, Thoothukkudi, Tirunelveli, and Kanniyakumari.</AbstractText>;           <AbstractText Label=""Conclusion"" NlmCategory=""UNASSIGNED"">This study identifies key areas within the state of Tamil Nadu which have a high prevalence of crimes against children and also areas that are hotspots for such crimes. Greater resources and measures can now be targeted toward these areas by stakeholders, which can help in the reduction of crimes against children.</AbstractText>;           <CopyrightInformation>Copyright: © 2024 Journal of Family Medicine and Primary Care.</CopyrightInformation>",Tamil; Medicine; Python (programming language); Socioeconomics; Demography; Geography; Environmental health; Operating system; Linguistics; Sociology; Computer science; Philosophy,Hotspot; kidnapping; spatial auto-correlation,,,10.4103/jfmpc.jfmpc_1463_23
175-155-724-185-702,Air quality and early-life mortality: Evidence from Indonesia's wildfires,2009-10-26,2009,journal article,Journal of Human Resources,0022166x; 15488004,University of Wisconsin Press,United States,Seema Jayachandran,"Smoke from massive wildfires blanketed Indonesia in late 1997. This paper examines the impact that this air pollution (particulate matter) had on fetal, infant, and child mortality. Exploiting the sharp timing and spatial patterns of the pollution and inferring deaths from ""missing children"" in the 2000 Indonesian Census, I find that the pollution led to 15,600 missing children in Indonesia (1.2 percent of the affected birth cohorts). Prenatal exposure to pollution drives the result. The effect size is much larger in poorer areas, suggesting that differential effects of pollution contribute to the socioeconomic gradient in health.",Infant mortality; Air quality index; Socioeconomic status; Mortality rate; Poverty; Geography; Child mortality; Pollution; Air pollution; Environmental health,JEL codes: Q56; Q53; Q52; I12; O1,,,10.3368/jhr.44.4.916
175-181-310-690-425,Doing Family Photography,2016-05-13,2016,book,,,Routledge,,Gillian Rose,"Family photography, a ubiquitous domestic tradition in the developed world, is now more popular than ever thanks to the development of digital photography. Once uploaded to PCs and other gadgets, photographs may be stored, deleted, put in albums, sent to relatives and friends, retouched, or put on display. Moreover, in recent years family photographs are more frequently appearing in public media: on posters, in newspapers and on the Internet, particularly in the wake of disasters like 9/11, and in cases of missing children. Here, case study material drawn from the UK offers a deeper understanding of both domestic family photographs and their public display. Recent work in material culture studies, geography, and anthropology is used to approach photographs as objects embedded in social practices, which produce specific social positions, relations and effects. Also explored are the complex economies of gifting and exchange amongst families, and the rich geographies of domestic and public spaces into which family photography offers an insight.",Photography; Art; Visual arts,,,,10.4324/9781315577890
176-116-204-331-571,Criminals And Missing Children Identification Using Face Recognition And Web Scrapping,2020-07-03,2020,conference proceedings article,"2020 International Conference on System, Computation, Automation and Networking (ICSCAN)",,IEEE,,S. Ayyappan; S. Matilda,"Face recognition is a biometric based technology that maps an individual's facial features mathematically and stores the data as a face print. It employs Machine Learning on the image and generates a feature vector which maps an object with array of numbers. This technology is used by organizations such as Google and Facebook to create a digital profile for its users. This project proposes to use this technology for identifying criminals who are on the run from their previous records. An NCRB (National Crime Records Bureau) report shows that 70% of crimes are repeatedly committed by the same criminals. These criminals can be identified by the face recognition from an image or video frame which is captured by the cameras which are installed in various locations and it can also be used for identifying missing children. The disadvantage posed is that the images are usually blurred, have less clarity and not recognizable to the human eye. The proposed system can successfully recognize more than one face which is useful for quickly searching suspected persons as the computation time is very low. It creates a unique template for each face and compare them with other images available in dataset. If the match is found for the input face, then the details associated with the related image will be displayed. This system will decrease the crimes and ensure the security in our society.",Frame (networking); Biometrics; Face (geometry); Information retrieval; Facial recognition system; Computer science; Face detection; Feature extraction; Identification (information); Feature vector,,,,10.1109/icscan49426.2020.9262390
176-141-840-255-770,Türkiye de Kayıp Çocuk Sorununun Sosyo-Kültürel ve Ekonomik Sebepleri ve Sonuçları (Doğu Anadolu Bölgesi nde Orta Ölçekli Bir Büyükşehir Belediyesi Örneklemi),2015-06-30,2015,journal article,Journal of International Social Research,13079581,The Journal of International Social Research,,Yusuf INCISerkan Altuntop,"Societies aiming to look confident in their future pay special attention to their children as adults of the future, makes treneous efforts to ensure their psycho-social development far from all sorts of abuse and neglect, do not refrain from spend their sources for this purpose and allocate serious amount of budget and make investments in education, health, security etc. Child abuse and/or neglect is a prevalent and serious barrier for the healthy development of children. A significant reflection of such abuse and/or neglect is missing children. Any single missing child has the potential to produce various problems and trauma for both himself/herself and his/her parents and country. Since it is difficult for missing children to maintain their lives on their own will they can easily expose to the threats of direct crime and/or criminal organizations. This research consists of two sections. In the first section, the research reviews the current literature on child abuse and missing children by browsing the publications, periodicals, internet sources and data from the relevant units about the issue. The second section tries to shed light on the motives and consequences of the problem by making a descriptive study on 296 missing children reported to law enforcement in amid-size metropolitan eastern city in 2012.",Descriptive research; Metropolitan area; Political science; Neglect; Law enforcement; Child abuse; Criminology,Çocuk; stismar; hmal; Kayıplık; Kaçırılma Child; Abuse; Neglect; Missing child; Abduction,,,10.17719/jisr.20153813669
176-334-521-190-499,GNN-Transformer Fusion for Enhanced Missing Child Identification,2025-04-16,2025,conference proceedings article,2025 International Conference on Computing and Communication Technologies (ICCCT),,IEEE,,K. Uma Maheswari; P. Dhanalakshmi,"In India, a countless number of children are reported missing every year. Among the missing child cases a large percentage of children remain untraced. This project presents a deep learning-based system for identifying missing children by comparing uploaded images with a repository of known missing child photos. The system employs Convolutional Neural Networks (CNNs) for face recognition, using the VGG-Face pretrained model for face descriptor extraction and an SVM classifier for child recognition tasks. While the existing approach demonstrates robustness to factors like noise, illumination, contrast, occlusion, image pose, and child age, it faces limitations in handling complex relationships, unseen scenarios, and scalability. The model also lacks the ability to capture temporal and relational data between different images or missing reports. To overcome these drawbacks, a hybrid Graph Neural Network (GNN) and Transformer model can be employed, where GNNs capture complex relational patterns and Transformers handle large-scale data and long-range dependencies. This combination enhances the model's ability to generalize to unseen conditions, improves scalability for larger datasets, and incorporates temporal and relational context, leading to more accurate and robust missing child identification.",Fusion; Computer science; Transformer; Identification (biology); Artificial intelligence; Engineering; Electrical engineering; Voltage; Biology; Botany; Philosophy; Linguistics,,,,10.1109/iccct63501.2025.11020006
176-817-334-423-900,the missing children,,2013,book,,,,,null じん〈自然の敵P〉,とある夏の日に少年少女たちは出会った。それは、いつまでも終わらない、長い長い夏の一日だった。誰も自分を理解してくれず、自分は独りぼっちだと感じていた彼らだったが、それぞれの「目」に宿る力に導かれるように、メカクシ団の下へと集まってきた。もう独りじゃない。彼らは手を取り合って謎の現象「カゲロウデイズ」に潜む闇とその背後にいるものに迫ってゆく！ネットに投稿された楽曲の関連動画再生数が２０００万を超える大人気クリエイターによる、書き下ろしノベル第四弾！『目』を欺くような衝撃を見逃すな！,,,,,
176-881-815-166-374,Socialism Kills: The Human Cost of Delayed Economic Reform in India,2009-10-21,2009,,Social Science Research Network,,,,Swaminathan Aiyar,"As the world approaches the 20th anniversary of the fall of communism, it is worth investigating the costs borne by countries like India that did not become communist but drew heavily on the Soviet model. For three decades after its independence in 1947, India strove for self-sufficiency instead of the gains of international trade, and gave the state an ever-increasing role in controlling the means of production. These policies yielded economic growth of 3.5 percent per year, which was half that of export-oriented Asian countries, and yielded slow progress in social indicators, too. Growth per capita in India was even slower, at 1.49 percent per year. It accelerated after reforms started tentatively in 1981, and shot up to 6.78 percent per year after reforms deepened in the current decade. What would the impact on social indicators have been had India commenced economic reform one decade earlier, and enjoyed correspondingly faster economic growth and improvements in human development indicators? This paper seeks to estimate the number of “missing children,” “missing literates,” and “missing non-poor” resulting from delayed reform, slower economic growth, and hence, slower improvement of social indicators. It finds that with earlier reform, 14.5 million more children would have survived, 261 million more Indians would have become literate, and 109 million more people would have risen above the poverty line. The delay in economic reform represents an enormous social tragedy. It drives home the point that India’s socialist era, which claimed it would deliver growth with social justice, delivered neither.",Per capita; Economics; Means of production; Poverty; Human development (humanity); Social justice; Economic reform; Development economics; Socialism; Economic growth; Communism,,,,
176-966-308-427-632,Forensic data management and database systems in forensic investigations for cases of missing and unidentified persons in Brazil.,2023-02-12,2023,journal article,Forensic sciences research,24711411,,England,Melina Calmon,"Forensic investigations, especially those related to missing persons and unidentified remains, produce different types of data that must be managed and understood. The data collected and produced are extensive and originate from various sources: the police, non-governmental organizations (NGOs), medical examiner offices, specialised forensic teams, family members, and others. Some examples of information include, but are not limited to, the investigative background information, excavation data of burial sites, antemortem data on missing persons, and postmortem data on the remains of unidentified individuals. These complex data must be stored in a secured place, analysed, compared, shared, and then reported to the investigative actors and the public, especially the families of missing persons, who should be kept informed of the investigation. Therefore, a data management system with the capability of performing the tasks relevant to the goals of the investigation and the identification of an individual, while respecting the deceased and their families, is critical for standardising investigations. Data management is crucial to assure the quality of investigative processes, and it must be recognised as a holistic integrated system. The aim of this article is to discuss some of the most important components of an effective forensic data management system. The discussion is enriched by examples, challenges, and lessons learned from the erratic development and launching of databases for missing and unidentified persons in Brazil. The main objective of this article is to bring attention to the urgent need for an effective and integrated system in Brazil.",,Brazil; Forensic sciences; database; forensic data management; missing persons; unidentified persons,,,
177-348-035-457-462,Qualitative Methods in Family Research,1992-07-28,1992,book,,,,,Jane F. Gilgun; Kerry Daly; Gerald Handel,"PART ONE: INTRODUCTION The Fit Between Qualitative Research and Characteristics of Families - Kerry Daly The Qualitative Tradition in Family Research - Gerald Handel Definitions, Methodologies, and Methods in Qualitative Family Research - Jane F Gilgun PART TWO: INTERVIEWS Interviews with Individuals Interviewing College Students About Their Constructions of Love - Susan U Snyder Case Study Interviews - Linda K Matocha Caring for Persons with AIDS Life Histories - Daniel F Detzner Conflict in Southeast Asian Refugee Families Conjoint Interviews Parenthood as Problematic - Kerry Daly Insider Interviews with Couples Seeking to Adopt An In-Depth Interview with the Parents of Missing Children - Deborah Lewis Fravel and Pauline G Boss Interviews with Multiple Family Members Using Multiple Forms of Family Data - Susan O Murphy Identifying Pattern and Meaning in Sibling-Infant Relationships A Family Case Study - Robin L Jarrett An Examination of the Underclass Debate A Feminist Analysis of Interviews with Elderly Mothers and Their Daughters - Katherine R Allen and Alexis J Walker PART THREE: OBSERVATION Participant Observation in Special Needs Adoptive Families - Anita Lightburn The Mediation of Chronic Illness and Handicap Observations in a Clinical Setting - Jane F Gilgun Team Decision-Making in Family Incest Treatment PART FOUR: DOCUMENT ANALYSIS Analyzing Popular Literature - Ellen M Harbert, Barbara H Vinick and David J Ekerdt Emergent Themes on Marriage and Retirement PART FIVE: COMBINED QUALITATIVE AND QUANTITATIVE APPROACHES The Blending of Qualitative and Quantitative Methods in Understanding Childbearing Among Welfare Recipients - Mark R Rank Using Qualitative and Quantitative Methods - Margarete Sandelowski, Diane Holditch-Davis and Betty Glenn Harris The Transition to Parenthood of Infertile Couples",Gender studies; Sociology; Refugee; Ethnography; Qualitative research; Participant observation; Interview; Special needs; Mediation (Marxist theory and media studies); Southeast asian,,,,
177-500-714-048-55X,Wandsworth Safeguarding Children and Young People - Missing children leaflet,2008-01-04,2008,,,,,,Wandsworth Safeguarding Children and Young People,,Internet privacy; Advertising; Leaflet (botany); Safeguarding; Download; Computer science,,,,
177-573-064-442-332,The effect of COVID-19 and Vaccine rollout on school enrollment in the US,2021-10-12,2021,,,,,,Kolawole Ogundari,"The COVID-19 pandemic outbreaks forced families to decide the safest and most effective learning environments for their children because of the virus's threat to health and life. Hence, because of the nationwide school closure, policymakers have raised concerns about the missing children cases-those who have not enrolled in school at all because of the pandemic. The present study investigates whether there is a difference in the school enrollment during the pre-COVID-19 period, COVID-19 period, and vaccine rollout period. We employed the U.S. Current Population Survey (CPS), covering January 2020 to May 2021, while we use both the logistic and multinomial regression models for the empirical analysis. Our results showed that school enrollment is lower during the COVID-19 pandemic compared to the Pre-COVID-19 period. Other results showed that school enrollment is higher since vaccine rollout compared to the COVID-19 period. A possible explanation for this could be that families consider the vaccine the safe path to enrolling their children in school. We also found that school enrollment varies significantly across race and ethnic groups.",Multinomial logistic regression; Ethnic group; Demography; Current Population Survey; Safe path; Coronavirus disease 2019 (COVID-19); Medicine; Pandemic,,,,
177-769-278-726-60X,ISM - Exemplar-based Age Progression Prediction in Children Faces,,2011,conference proceedings article,2011 IEEE International Symposium on Multimedia,,IEEE,,Cheng-Ta Shen; Wan-Hua Lu; Sheng-Wen Shih; Hong-Yuan Mark Liao,"This work aims to develop a system for predicting age progression in children faces. Age progression prediction in children faces is critical to assist missing children searching. An integral module including feature extraction, distance measurement, and face synthesis is devised in this paper to predict faces at different ages. In the proposed method, a curvature-weighted plus bending-energy distance is employed for selecting similar facial components from an aging database. The growth curve of each facial component is used to predict the shape, size, and location of each component at a different age. Thin plate spline method is employed to synthesize a 3-D face model from the predicted components by minimizing the bending energy. Experiments are conducted to test the proposed method with various subjects and the results show that the proposed method is very promising.",Machine learning; Artificial intelligence; Pattern recognition; Energy (signal processing); Work (physics); Growth curve (statistics); Age progression; Facial recognition system; Computer science; Component (UML); Feature extraction; Thin plate spline,,,,10.1109/ism.2011.28
178-560-797-337-365,Missing Children,2018-11-29,2018,book chapter,Listening through the Bone,,Gallaudet University Press,,Debbie Rennie,,Psychology,,,,10.2307/j.ctv2rh27xq.61
178-608-878-643-559,Journey in child-centred social work without borders,2021-12-22,2021,book chapter,Child-Centred Social Work in India,,Routledge India,,Saji Thomas,"In this chapter, Saji Thomas takes us through his career journey in child-centred social work (CSW) without borders and gives us an insight into what consumes him as a professional. He narrates his early job experience of coordinating a network of organisations for street children. The chapter moves to his engagement with an international non-government organisation Save the Children UK, and then to UNICEF in Tamil Nadu and Bihar, where he worked on responding to children affected by disasters, In Sri Lanka, he worked on tracing and restoring missing children and service delivery for rehabilitation of children associated with armed conflict. He was the global focal person for Mental Health and Psychosocial Support at UNICEF Headquarters, engaged with child protection system strengthening in Egypt for addressing violence against children and harmful practices, and now looking at child protection in gulf countries. He explores his roles and engagement as an activist, a social worker, policy influencer, and as an international bureaucrat at some length. In his reflections, Saji raises pertinent issues about the future of CSW in the context of technological and societal changes.",Work (physics); Sociology; Social work; Psychology; Political science; Engineering; Mechanical engineering; Law,,,,10.4324/9781003259558-11
178-750-178-075-295,GHTC - Software for Tracking Vulnerable Children,,2012,conference proceedings article,2012 IEEE Global Humanitarian Technology Conference,,IEEE,,Keyur Dhaky; Mehernosh Bulsara,"This paper describes innovation in visualization of a comprehensive software solution (ChildNet) which assists in effective management and tracking of Vulnerable Children in India. This welfare activity particularly focuses on Children in Distress (CID) and their rehabilitation through various initiatives and collaborations with partners/NGOs across India. The main objectives of the System are to help Children in distress and to have complete transparency of the activities by various stakeholders across the programme. This is inline with the Integrated Child Development Scheme (ICDS) which is an integral part of the Ministry of Women and Children Development (Government of India). The innovation was to setup a free national helpline (Tel no. 1098) which would assist in initiating and recording Child Vulnerability Incidents across India. The System is designed to address Child Vulnerability Issues like Abuse a Violence, child Trafficking, Child Labor, child in Conflict with Law, Child Marriage, Child Sexual Abuse, Child without Parental Care, Street Children (without Shelter), , Disabilities, Health issues, Drug Abuse, Gender bias (Girl Child), HIV-AIDS, Missing Children. The System also assists to record collaboration from Government, Public and Private Sectors for addressing this challenge collectively. Comprehensive solution was developed to assist programme in aligning priorities of initiatives and track the progress made in each of the child Intervention case. This resulted in bringing about visibility and accountability with traceability for the initiative with trend analysis. The system is presently operational in 170 cities in 30 States and Union Territories in India and has assisted to address more than 10 million calls so far.",Child development; Private sector; Government; Political science; Vulnerability; Empowerment; Accountability; Child marriage; Child sexual abuse; Economic growth,,,,10.1109/ghtc.2012.23
179-299-827-612-875,EAmber Scan: Face Recognition for Missing Children in the National Amber Alert System,2017-12-04,2017,journal article,Annals of the Master of Science in Computer Science and Information Systems at UNC Wilmington,,,,Harry Atwall; Karl Ricanek; Judith Gebauer; Brittany Morago,,Speech recognition; Alert system; Facial recognition system; Computer science,,,,
179-403-338-462-711,Canada's Residential Schools: Missing Children and Unmarked Burials,2016-12-31,2016,book,,,McGill-Queen's University Press,,Commission de vérité et réconciliation du Canada,"Between 1867 and 2000, the Canadian government sent over 150,000 Aboriginal children to residential schools across the country. Government officials and missionaries agreed that in order to “civilize and Christianize” Aboriginal children, it was necessary to separate them from their parents and their home communities. For children, life in these schools was lonely and alien. Discipline was harsh, and daily life was highly regimented. Aboriginal languages and cultures were denigrated and suppressed. Education and technical training too often gave way to the drudgery of doing the chores necessary to make the schools self-sustaining. Child neglect was institutionalized, and the lack of supervision created situations where students were prey to sexual and physical abusers. Legal action by the schools’ former students led to the creation of the Truth and Reconciliation Commission of Canada in 2008. The product of over six years of research, the Commission’s final report outlines the history and legacy of the schools, and charts a pathway towards reconciliation. Canada’s Residential Schools: Missing Children and Unmarked Burials is the first systematic effort to record and analyze deaths at the schools, and the presence and condition of student cemeteries, within the regulatory context in which the schools were intended to operate. As part of its work the Truth and Reconciliation Commission of Canada established a National Residential School Student Death Register. Due to gaps in the available data, the register is far from complete. Although the actual number of deaths is believed to be far higher, 3,200 residential school victims have been identified. The analysis also demonstrates that residential school death rates were significantly higher than those for the general Canadian school-aged population. The failure to establish and enforce adequate standards of care, coupled with the failure to adequately fund the schools, resulted in unnecessarily high death rates at residential schools. Senior government and church officials were well aware of the schools’ ongoing failure to provide adequate levels of custodial care. Children who died at the schools were rarely sent back to their home community. They were usually buried in school or nearby mission cemeteries. As the schools and missions closed, these cemeteries were abandoned. While in a number of instances Aboriginal communities, churches, and former staff have taken steps to rehabilitate cemeteries and commemorate the individuals buried there, most of these cemeteries are now disused and vulnerable to accidental disturbance. In the face of this abandonment, the TRC is proposing the development of a national strategy for the documentation, maintenance, commemoration, and protection of residential school cemeteries.",Geography; Mathematics education; History; Psychology,,,,10.1515/9780773598256
179-993-399-955-491,AI-Assisted Search for Missing Children,2022-10-16,2022,conference proceedings article,2022 IEEE 2nd Mysore Sub Section International Conference (MysuruCon),,IEEE,,Sowmya M. R.; Kirti Chaudhary; Soumya R; Prity Panjiyar,"The fact that half of the 174 children who go missing each day in India are still unaccounted for is incredibly troubling. According to a National Crime Records Bureau (NCRB) data, more than one lakh children (1, 11,569 in all) were reported missing up until 2016, and 55,625 of them were still unaccounted for at the end of the year that was cited by the Ministry of Home Affairs (MHA) in Parliament (LS Q no. 3928, 20-03-2018).In order to tackle and help out Police, AI-Assisted Search for Missing Children a GUI application was created in Python that the police may use to open a new case and find missing children. The missing person’s image that has been supplied is processed on the backend, and important information are recorded. This is kept in a database together with more details like name, parent’s name, age, place, etc. An application using Android is also developed which can be made accessible to the general public. Using this application, a person’s photo can be uploaded if found suspicious by the user. There is an option of submitting the photo obliquely or anonymously. Along with the location, this image is saved in the database. The GUI application applies a machine learning algorithm to compare user-submitted photos with those uploaded by the police. Any matches along with the place where the missing individual was last seen if they are discovered can displayed.",Upload; Python (programming language); Missing data; Computer science; Android (operating system); Android application; World Wide Web; Christian ministry; Scripting language; Information retrieval; Artificial intelligence; Political science; Machine learning; Law; Operating system,,,,10.1109/mysurucon55714.2022.9972347
180-264-179-063-315,Analysis of facial growth patterns for forensic investigation of missing children,2018-07-01,2018,journal article,Journal of emerging technologies and innovative research,23495162,,,Helly Nilesh Shah; Pranjalee Daxesh Acharya,"Face age prediction system is the simulation of prediction of face and face age. To predict the face of any person, age plays an important role and the various models are built on age parameter. Yet, growth-related shape variations during developmental years are considered for face prediction. Image processing is utilized for the face prediction. Anthropometric pieces of evidence gathered from the face are used as the core facial features with respect to age. The anthropometric studies are used to describe the facial growth with the help of growth parameters characterized by the facial landmarks. These age-based models have different useful applications like finding the missing persons, especially in the case of missing kids. In this paper, anthropometric features are extracted from the face of the child. These features are compared with the face of the same person but at different age intervals.",Artificial intelligence; Pattern recognition; Face (geometry); Age prediction; Computer science; Image processing,,,,
